votes,gas,blocks15,blocks30,fee15,fee30
4196,6420148544,15957708,,,
4444,6799604416,15956224,,,
3731,5708668784,15960225,,,
4104,6279382656,15958222,,,
4540,6946490560,15955680,,,
4846,7414690144,15953665,,,
4656,7123977984,15954907,,,
3984,6095774976,15958830,,,
3479,5323092656,15962074,,,
3906,5976429984,15959179,,,
3382,5174676448,15962804,,,
4717,7217311888,15954494,,,
4100,6273262400,15958243,,,
4898,7494253472,15953413,,,
3742,5725499488,15960148,,,
4821,7376438544,15953790,,,
3463,5298611632,15962199,,,
3681,5632165584,15960577,,,
4798,7341247072,15953919,,,
3678,5627575392,15960605,,,
3518,5382765152,15961761,,,
3401,5203747664,15962685,,,
3740,5722439360,15960164,,,
4485,6862337040,15955994,,,
3898,5964189472,15959213,,,
3679,5629105456,15960601,,,
4395,6724631280,15956505,,,
4708,7203541312,15954546,,,
4826,7384088864,15953765,,,
3727,5702548528,15960256,,,
3818,5841784352,15959685,,,
3184,4871723776,15964283,,,
4148,6346705472,15957982,,,
3046,4660574944,15965241,,,
3066,4691176224,15965074,,,
4110,6288563040,15958174,,,
3719,5690308016,15960309,,,
3329,5093583056,15963190,,,
4650,7114797600,15954954,,,
4096,6267142144,15958269,,,
4425,6770533200,15956328,,,
4276,6542553664,15957244,,,
4525,6923539600,15955777,,,
3513,5375114832,15961787,,,
3256,4981888384,15963744,,,
3142,4807461088,15964549,,,
4918,7524854752,15953303,,,
4988,7631959232,15952930,,,
3004,4596312256,15965557,,,
4997,7645729808,15952869,,,
4175,6388017200,15957832,,,
3100,4743198400,15964814,,,
4406,6741461984,15956445,,,
4971,7605948144,15953028,,,
3960,6059053440,15958934,,,
3758,5749980512,15960048,,,
3302,5052271328,15963411,,,
3162,4838062368,15964424,,,
3433,5252709712,15962429,,,
3435,5255769840,15962418,,,
3920,5997850880,15959116,,,
4852,7423870528,15953636,,,
3386,5180796704,15962784,,,
4087,6253371568,15958325,,,
4851,7422340464,15953641,,,
3027,4631503728,15965389,,,
4873,7456001872,15953530,,,
4974,7610538336,15953008,,,
4681,7162229584,15954720,,,
4371,6687909744,15956677,,,
4519,6914359216,15955810,,,
3392,5189977088,15962740,,,
3816,5838724224,15959697,,,
4326,6619056864,15956973,,,
3667,5610744688,15960699,,,
3649,5583203536,15960817,,,
4542,6949550688,15955655,,,
3059,4680465776,15965137,,,
4639,7097966896,15955015,,,
4252,6505832128,15957366,,,
3500,5355224000,15961884,,,
4887,7477422768,15953471,,,
3119,4772269616,15964704,,,
3045,4659044880,15965247,,,
3633,5558722512,15960913,,,
3125,4781450000,15964652,,,
3464,5300141696,15962191,,,
3277,5014019728,15963594,,,
3527,5396535728,15961687,,,
3477,5320032528,15962084,,,
4352,6658838528,15956811,,,
3272,5006369408,15963633,,,
4914,7518734496,15953322,,,
3967,6069763888,15958900,,,
3550,5431727200,15961527,,,
4028,6163097792,15958637,,,
3354,5131834656,15963018,,,
3553,5436317392,15961499,,,
3601,5509760464,15961114,,,
3803,5818833392,15959779,,,
4859,7434580976,15953604,,,
4014,6141676896,15958700,,,
4765,7290754960,15954166,,,
4877,7462122128,15953516,,,
4975,7612068400,15953003,,,
4757,7278514448,15954215,,,
3444,5269540416,15962325,,,
4272,6536433408,15957266,,,
4795,7336656880,15953950,,,
3638,5566372832,15960887,,,
3546,5425606944,15961550,,,
4965,7596767760,15953062,,,
3840,5875445760,15959548,,,
4627,7079606128,15955089,,,
3105,4750848720,15964776,,,
4875,7459062000,15953525,,,
4701,7192830864,15954587,,,
3896,5961129344,15959222,,,
4024,6156977536,15958654,,,
3267,4998719088,15963667,,,
4637,7094906768,15955033,,,
4653,7119387792,15954926,,,
3784,5789762176,15959901,,,
3736,5716319104,15960191,,,
3340,5110413760,15963117,,,
3390,5186916960,15962750,,,
3523,5390415472,15961725,,,
4082,6245721248,15958346,,,
3231,4943636784,15963945,,,
4949,7572286736,15953149,,,
4007,6130966448,15958725,,,
4228,6469110592,15957515,,,
4186,6404847904,15957771,,,
4679,7159169456,15954733,,,
4170,6380366880,15957864,,,
3728,5704078592,15960244,,,
3699,5659706736,15960450,,,
4849,7419280336,15953652,,,
3911,5984080304,15959155,,,
3051,4668225264,15965213,,,
4936,7552395904,15953207,,,
4585,7015343440,15955361,,,
3711,5678067504,15960357,,,
4086,6251841504,15958329,,,
4828,7387148992,15953754,,,
3912,5985610368,15959153,,,
4289,6562444496,15957170,,,
4554,6967911456,15955573,,,
3549,5430197136,15961528,,,
4702,7194360928,15954580,,,
3103,4747788592,15964792,,,
4370,6686379680,15956681,,,
4193,6415558352,15957726,,,
4972,7607478208,15953023,,,
4845,7413160080,15953674,,,
4908,7509554112,15953353,,,
3058,4678935712,15965143,,,
4053,6201349392,15958515,,,
3331,5096643184,15963178,,,
3333,5099703312,15963161,,,
4599,7036764336,15955268,,,
4576,7001572864,15955437,,,
4510,6900588640,15955869,,,
4341,6642007824,15956884,,,
4560,6977091840,15955537,,,
3121,4775329744,15964691,,,
4360,6671079040,15956755,,,
4508,6897528512,15955878,,,
3245,4965057680,15963819,,,
3085,4720247440,15964905,,,
4022,6153917408,15958664,,,
3419,5231288816,15962544,,,
3258,4984948512,15963729,,,
4780,7313705920,15954055,,,
4297,6574685008,15957133,,,
4451,6810314864,15956183,,,
3634,5560252576,15960910,,,
4309,6593045776,15957064,,,
3650,5584733600,15960807,,,
4967,7599827888,15953053,,,
3356,5134894784,15963002,,,
3851,5892276464,15959489,,,
4544,6952610816,15955649,,,
3294,5040030816,15963471,,,
3929,6011621456,15959074,,,
4759,7281574576,15954206,,,
4240,6487471360,15957430,,,
3883,5941238512,15959284,,,
4810,7359607840,15953859,,,
4177,6391077328,15957819,,,
3362,5144075168,15962951,,,
4325,6617526800,15956980,,,
4044,6187578816,15958558,,,
3774,5774461536,15959963,,,
4434,6784303776,15956285,,,
4277,6544083728,15957237,,,
3933,6017741712,15959056,,,
3525,5393475600,15961717,,,
4220,6456870080,15957575,,,
3571,5463858544,15961330,,,
4630,7084196320,15955074,,,
3715,5684187760,15960330,,,
3923,6002441072,15959103,,,
4556,6970971584,15955559,,,
3423,5237409072,15962498,,,
3566,5456208224,15961366,,,
4537,6941900368,15955704,,,
3489,5338393296,15961985,,,
4222,6459930208,15957559,,,
4783,7318296112,15954039,,,
4316,6603756224,15957024,,,
3007,4600902448,15965534,,,
4080,6242661120,15958356,,,
4061,6213589904,15958474,,,
4365,6678729360,15956719,,,
3008,4602432512,15965532,,,
4862,7439171168,15953588,,,
3399,5200687536,15962696,,,
4150,6349765600,15957969,,,
3931,6014681584,15959064,,,
4942,7561576288,15953181,,,
3311,5066041904,15963339,,,
3582,5480689248,15961245,,,
4649,7113267536,15954957,,,
3937,6023861968,15959040,,,
3802,5817303328,15959787,,,
4670,7145398880,15954805,,,
4837,7400919568,15953713,,,
4699,7189770736,15954598,,,
3443,5268010352,15962334,,,
3537,5411836368,15961607,,,
4311,6596105904,15957050,,,
4006,6129436384,15958732,,,
3928,6010091392,15959079,,,
4353,6660368592,15956805,,,
4416,6756762624,15956382,,,
3088,4724837632,15964891,,,
3897,5962659408,15959218,,,
4018,6147797152,15958682,,,
4786,7322886304,15954027,,,
4247,6498181808,15957389,,,
4844,7411630016,15953677,,,
3725,5699488400,15960269,,,
4663,7134688432,15954859,,,
4601,7039824464,15955252,,,
4472,6842446208,15956068,,,
4052,6199819328,15958518,,,
3210,4911505440,15964103,,,
4763,7287694832,15954186,,,
3761,5754570704,15960028,,,
3819,5843314416,15959680,,,
3775,5775991600,15959958,,,
3095,4735548080,15964845,,,
4417,6758292688,15956379,,,
3921,5999380944,15959113,,,
3939,6026922096,15959031,,,
4207,6436979248,15957647,,,
4561,6978621904,15955532,,,
4265,6525722960,15957307,,,
3794,5805062816,15959833,,,
3901,5968779664,15959199,,,
4611,7055125104,15955190,,,
3512,5373584768,15961796,,,
4691,7177530224,15954644,,,
4884,7472832576,15953485,,,
3118,4770739552,15964708,,,
4025,6158507600,15958649,,,
4743,7257093552,15954307,,,
3445,5271070480,15962318,,,
3014,4611612896,15965498,,,
4089,6256431696,15958316,,,
3889,5950418896,15959256,,,
4673,7149989072,15954786,,,
3442,5266480288,15962344,,,
3548,5428667072,15961537,,,
4657,7125508048,15954901,,,
4306,6588455584,15957080,,,
3734,5713258976,15960208,,,
3926,6007031264,15959088,,,
4064,6218180096,15958454,,,
3221,4928336144,15964019,,,
4441,6795014224,15956239,,,
3688,5642876032,15960539,,,
4749,7266273936,15954277,,,
4552,6964851328,15955591,,,
3830,5860145120,15959605,,,
4536,6940370304,15955713,,,
3453,5283310992,15962257,,,
4509,6899058576,15955876,,,
3769,5766811216,15959988,,,
3563,5451618032,15961392,,,
3455,5286371120,15962238,,,
3724,5697958336,15960278,,,
3609,5522000976,15961055,,,
4137,6329874768,15958025,,,
3822,5847904608,15959663,,,
3180,4865603520,15964305,,,
4454,6814905056,15956171,,,
3324,5085932736,15963240,,,
4452,6811844928,15956179,,,
3215,4919155760,15964064,,,
3841,5876975824,15959542,,,
3461,5295551504,15962211,,,
3564,5453148096,15961385,,,
3588,5489869632,15961202,,,
3807,5824953648,15959756,,,
3481,5326152784,15962045,,,
3225,4934456400,15963994,,,
3116,4767679424,15964715,,,
3400,5202217600,15962694,,,
3035,4643744240,15965315,,,
3924,6003971136,15959100,,,
3554,5437847456,15961493,,,
4448,6805724672,15956202,,,
4659,7128568176,15954888,,,
3936,6022331904,15959044,,,
3972,6077414208,15958879,,,
3580,5477629120,15961254,,,
3425,5240469200,15962478,,,
4438,6790424032,15956255,,,
4074,6233480736,15958389,,,
3429,5246589456,15962453,,,
3676,5624515264,15960623,,,
3141,4805931024,15964560,,,
4407,6742992048,15956436,,,
4734,7243322976,15954358,,,
4520,6915889280,15955804,,,
3856,5899926784,15959448,,,
3600,5508230400,15961121,,,
4392,6720041088,15956525,,,
3170,4850302880,15964380,,,
4888,7478952832,15953466,,,
3040,4651394560,15965282,,,
4744,7258623616,15954303,,,
3869,5919817616,15959371,,,
4107,6283972848,15958198,,,
4393,6721571152,15956519,,,
4132,6322224448,15958049,,,
3165,4842652560,15964411,,,
3616,5532711424,15961016,,,
4162,6368126368,15957902,,,
4292,6567034688,15957154,,,
4797,7339717008,15953929,,,
4543,6951080752,15955652,,,
3808,5826483712,15959748,,,
3868,5918287552,15959379,,,
3334,5101233376,15963153,,,
3709,5675007376,15960374,,,
4661,7131628304,15954875,,,
3368,5153255552,15962882,,,
3456,5287901184,15962233,,,
3150,4819701600,15964495,,,
4829,7388679056,15953751,,,
3112,4761559168,15964732,,,
3441,5264950224,15962360,,,
3870,5921347680,15959368,,,
4684,7166819776,15954696,,,
3999,6118725936,15958761,,,
4830,7390209120,15953747,,,
4304,6585395456,15957096,,,
3434,5254239776,15962421,,,
3328,5092052992,15963199,,,
3558,5443967712,15961442,,,
3852,5893806528,15959484,,,
3446,5272600544,15962315,,,
4529,6929659856,15955759,,,
4174,6386487136,15957835,,,
4546,6955670944,15955634,,,
4813,7364198032,15953843,,,
3952,6046812928,15958969,,,
4106,6282442784,15958203,,,
4784,7319826176,15954033,,,
4809,7358077776,15953866,,,
3283,5023200112,15963556,,,
3612,5526591168,15961035,,,
4568,6989332352,15955492,,,
3375,5163966000,15962835,,,
4590,7022993760,15955334,,,
4223,6461460272,15957552,,,
3703,5665826992,15960422,,,
3296,5043090944,15963458,,,
4748,7264743872,15954283,,,
4124,6309983936,15958102,,,
4558,6974031712,15955547,,,
4598,7035234272,15955273,,,
3636,5563312704,15960899,,,
4861,7437641104,15953591,,,
3318,5076752352,15963288,,,
3385,5179266640,15962785,,,
3067,4692706288,15965072,,,
3409,5215988176,15962615,,,
3585,5485279440,15961221,,,
3685,5638285840,15960559,,,
4172,6383427008,15957849,,,
4015,6143206960,15958695,,,
3708,5673477312,15960383,,,
3054,4672815456,15965169,,,
4118,6300803552,15958133,,,
3843,5880035952,15959535,,,
3470,5309322080,15962139,,,
4314,6600696096,15957032,,,
4332,6628237248,15956936,,,
4577,7003102928,15955432,,,
3732,5710198848,15960215,,,
4063,6216650032,15958464,,,
3003,4594782192,15965560,,,
3994,6111075616,15958784,,,
3029,4634563856,15965364,,,
4833,7394799312,15953735,,,
4488,6866927232,15955974,,,
4766,7292285024,15954164,,,
4401,6733811664,15956471,,,
3372,5159375808,15962860,,,
3220,4926806080,15964025,,,
4473,6843976272,15956061,,,
3278,5015549792,15963591,,,
3631,5555662384,15960923,,,
4181,6397197584,15957801,,,
3517,5381235088,15961765,,,
3675,5622985200,15960627,,,
3968,6071293952,15958895,,,
3692,5648996288,15960518,,,
3235,4949757040,15963909,,,
3878,5933588192,15959308,,,
3249,4971177936,15963793,,,
4928,7540155392,15953248,,,
3275,5010959600,15963609,,,
4250,6502772000,15957376,,,
4752,7270864128,15954258,,,
3137,4799810768,15964588,,,
4090,6257961760,15958309,,,
4720,7221902080,15954472,,,
4345,6648128080,15956859,,,
3965,6066703760,15958907,,,
3325,5087462800,15963227,,,
3903,5971839792,15959193,,,
4762,7286164768,15954190,,,
3842,5878505888,15959538,,,
3208,4908445312,15964113,,,
3021,4622323344,15965430,,,
3196,4890084544,15964191,,,
4324,6615996736,15956984,,,
4922,7530975008,15953285,,,
4197,6421678608,15957704,,,
3835,5867795440,15959581,,,
3515,5378174960,15961776,,,
3811,5831073904,15959726,,,
4358,6668018912,15956767,,,
4419,6761352816,15956365,,,
4712,7209661568,15954522,,,
4678,7157639392,15954741,,,
3377,5167026128,15962824,,,
4032,6169218048,15958619,,,
